customer_id,sector,grade,pd_baseline,ead,lgd,apr
C0051,Technology,A,0.0014353741496598,187420.04615435636,0.27,0.08
C0052,Retail,G,0.2732492997198879,22610.31682439366,0.65,0.22
C0053,Telecommunications,A,0.0003021070532079,177676.9669527863,0.29,0.08
C0054,Telecommunications,B,0.0071764996907854,110635.82541890131,0.33999999999999997,0.1
C0055,Chemicals,B,0.0071764996907854,107307.16812932315,0.35,0.1
C0056,Telecommunications,A,0.0034717150017901,140931.7519282304,0.29,0.08
C0057,Manufacturing,A,1e-06,216295.3634332095,0.25,0.08
C0058,Transportation,D,0.0240365845744875,72859.98464324187,0.45,0.14
C0059,Manufacturing,A,1e-06,196408.00023556076,0.25,0.08
C0060,Construction,G,0.1755287689055131,26949.442932250255,0.6,0.22
C0061,Construction,B,0.0050184986275211,146283.63481602754,0.35,0.1
C0062,Transportation,A,0.0032268170426065,146998.94182518608,0.3,0.08
C0063,Logistics,A,1e-06,134849.71181648425,0.32,0.08
C0064,Construction,A,1e-06,203126.9408968415,0.3,0.08
C0065,Transportation,C,0.0182292259953914,91521.50839362729,0.4,0.12
C0066,Engineering,A,0.0014353741496598,140289.0738191688,0.27999999999999997,0.08
C0067,Manufacturing,A,1e-06,161153.82428294074,0.25,0.08
C0068,Logistics,B,0.0081485857500895,109797.74575066517,0.37,0.1
C0069,Manufacturing,A,0.0008401360544217,166347.6781592298,0.25,0.08
C0070,Technology,A,1e-06,132458.65196157753,0.27,0.08
C0071,Retail,G,0.1258277722277722,25269.50018731419,0.65,0.22
C0072,Transportation,C,0.0107533476548514,82002.34944583046,0.4,0.12
C0073,Manufacturing,A,1e-06,157226.52650630317,0.25,0.08
C0074,Logistics,A,1e-06,124387.79627865738,0.32,0.08
C0075,Retail,A,1e-06,144011.12488711785,0.35,0.08
C0076,Retail,D,0.0206542734854095,76516.85081101293,0.5,0.14
C0077,Retail,A,0.0036734693877551,129353.38217465511,0.35,0.08
C0078,Manufacturing,A,1e-06,186008.90390713984,0.25,0.08
C0079,Construction,A,1e-06,154746.25065994955,0.3,0.08
C0080,Manufacturing,A,1e-06,160037.21415672952,0.25,0.08
C0081,Logistics,A,0.0008401360544217,167433.10491137233,0.32,0.08
C0082,Chemicals,F,0.1156344641256248,44125.47384153818,0.55,0.18
C0083,Construction,E,0.0510404161664665,76270.06815633914,0.5,0.16
C0084,Manufacturing,A,1e-06,217529.81927850502,0.25,0.08
C0085,Construction,A,0.000595238095238,192218.17568025057,0.3,0.08
C0086,Construction,A,1e-06,209689.10165724056,0.3,0.08
C0087,Retail,A,1e-06,155819.78275098742,0.35,0.08
C0088,Chemicals,A,0.0008401360544217,144964.95392516645,0.3,0.08
C0089,Telecommunications,A,0.0034717150017901,121980.6765307944,0.29,0.08
C0090,Agriculture,A,1e-06,108709.21701000126,0.38,0.08
C0091,Manufacturing,A,1e-06,190203.88746802215,0.25,0.08
C0092,Retail,A,0.0008401360544217,132188.21793716008,0.35,0.08
C0093,Retail,A,1e-06,160978.2971051614,0.35,0.08
C0094,Chemicals,A,1e-06,173395.82302390982,0.3,0.08
C0095,Retail,A,1e-06,144104.98528256928,0.35,0.08
C0096,Engineering,A,1e-06,141150.92292225623,0.27999999999999997,0.08
C0097,Engineering,E,0.0422931922107944,74625.99249579724,0.48,0.16
C0098,Agriculture,D,0.0232590353901714,61851.15607938274,0.53,0.14
C0099,Manufacturing,A,1e-06,158590.8528539511,0.25,0.08
C0100,Manufacturing,A,0.0032,183538.4904325117,0.25,0.08
C0101,Manufacturing,A,1e-06,194508.12391261358,0.25,0.08
C0102,Chemicals,A,0.0029717150017901,144089.248251767,0.3,0.08
C0103,Construction,A,0.0014353741496598,154144.34433162716,0.3,0.08
C0104,Engineering,A,0.0040669530970282,145018.22254123978,0.27999999999999997,0.08
C0105,Telecommunications,A,0.0008401360544217,130226.90546392702,0.29,0.08
C0106,Transportation,C,0.0100008325008325,105598.75293162488,0.4,0.12
C0107,Agriculture,C,0.0152371733529628,81481.12705543601,0.48000000000000004,0.12
C0108,Retail,A,0.0008401360544217,121946.51316252252,0.35,0.08
C0109,Transportation,A,0.0009353741496598,143715.84043299325,0.3,0.08
C0110,Manufacturing,A,1e-06,211148.10354927194,0.25,0.08
C0111,Transportation,A,1e-06,122290.27375805969,0.3,0.08
C0112,Manufacturing,A,1e-06,182283.15495835696,0.25,0.08
C0113,Telecommunications,A,0.0009353741496598,162125.24202633463,0.29,0.08
C0114,Logistics,A,0.0009353741496598,135400.19406198623,0.32,0.08
C0115,Chemicals,A,0.0003401360544217,167158.8374277253,0.3,0.08
C0116,Logistics,E,0.042352355247092,60047.59197221911,0.52,0.16
C0117,Logistics,B,0.0062692307692307,106802.89832383957,0.37,0.1
C0118,Transportation,A,0.0040669530970282,166757.4677036866,0.3,0.08
C0119,Telecommunications,A,1e-06,131007.25739732072,0.29,0.08
C0120,Engineering,A,0.0005,176558.6052718939,0.27999999999999997,0.08
C0121,Logistics,A,1e-06,155599.0917747043,0.32,0.08
C0122,Telecommunications,B,0.0055184986275211,99161.05969316646,0.33999999999999997,0.1
C0123,Construction,A,0.0040401360544217,182100.5604616645,0.3,0.08
C0124,Manufacturing,E,0.0514330644538517,69224.08125857187,0.45,0.16
C0125,Transportation,A,0.0003401360544217,152313.27788165078,0.3,0.08
C0126,Agriculture,A,0.0040669530970282,127777.72435437747,0.38,0.08
C0127,Logistics,A,0.0008401360544217,152128.50946147906,0.32,0.08
C0128,Logistics,A,0.0003401360544217,170325.8384628858,0.32,0.08
C0129,Manufacturing,A,1e-06,210379.74583985875,0.25,0.08
C0130,Engineering,B,0.0055184986275211,120418.5034867778,0.32999999999999996,0.1
C0131,Agriculture,A,0.0005,131125.4630041374,0.38,0.08
C0132,Transportation,A,0.0040669530970282,139451.93790160562,0.3,0.08
C0133,Manufacturing,B,0.0094692307692307,144302.23522040594,0.3,0.1
C0134,Construction,A,1e-06,185251.6142346481,0.3,0.08
C0135,Technology,A,1e-06,175315.78322031014,0.27,0.08
C0136,Construction,A,0.0049217687074829,210724.89715126672,0.3,0.08
C0137,Engineering,D,0.0220017355471573,81380.4963042365,0.43,0.14
C0138,Retail,A,0.0008401360544217,143484.5791307036,0.35,0.08
C0139,Construction,A,1e-06,197952.6174539332,0.3,0.08
C0140,Technology,A,0.0032268170426065,176979.3917478329,0.27,0.08
C0141,Technology,A,0.0003401360544217,177996.4444049538,0.27,0.08
C0142,Transportation,A,1e-06,135386.78516866989,0.3,0.08
C0143,Engineering,A,0.0014353741496598,183374.050063827,0.27999999999999997,0.08
C0144,Construction,B,0.0066717150017901,152124.00956206623,0.35,0.1
C0145,Transportation,A,0.0003401360544217,150058.10158610993,0.3,0.08
C0146,Manufacturing,C,0.0196979995187867,120374.6705555423,0.35000000000000003,0.12
C0147,Chemicals,C,0.0107533476548514,94805.51859335465,0.4,0.12
C0148,Engineering,A,1e-06,147564.06376305895,0.27999999999999997,0.08
C0149,Manufacturing,A,1e-06,233779.71835997532,0.25,0.08
C0150,Transportation,A,1e-06,121104.5166289332,0.3,0.08
C0151,Telecommunications,A,1e-06,137515.22784127016,0.29,0.08
C0152,Transportation,A,0.0005,130960.17657335293,0.3,0.08
C0153,Manufacturing,A,1e-06,193864.280749266,0.25,0.08
C0154,Engineering,A,0.001095238095238,165021.00973470078,0.27999999999999997,0.08
C0155,Technology,A,0.0008401360544217,188467.87947974968,0.27,0.08
C0156,Transportation,A,1e-06,179475.4232777435,0.3,0.08
C0157,Retail,A,0.0008401360544217,145431.28574155975,0.35,0.08
C0158,Retail,A,1e-06,151283.65346815882,0.35,0.08
C0159,Transportation,A,0.001095238095238,158713.6636311939,0.3,0.08
C0160,Retail,A,0.0003401360544217,130603.9322388239,0.35,0.08
C0161,Construction,E,0.0424755107522461,73430.47876537232,0.5,0.16
C0162,Chemicals,A,0.0003401360544217,159288.31377666583,0.3,0.08
C0163,Chemicals,B,0.0062692307692307,133087.6052161119,0.35,0.1
C0164,Engineering,A,0.0032,181650.47048605263,0.27999999999999997,0.08
C0165,Manufacturing,A,1e-06,205473.97943956283,0.25,0.08
C0166,Logistics,G,0.160679509835508,28067.59860339879,0.62,0.22
C0167,Construction,A,0.0029717150017901,199386.7417409798,0.3,0.08
C0168,Transportation,A,1e-06,126539.06867865144,0.3,0.08
C0169,Manufacturing,A,0.000595238095238,218786.55898757637,0.25,0.08
C0170,Chemicals,G,0.2401826330532212,22025.718884495076,0.6,0.22
C0171,Retail,A,0.0008401360544217,138397.40909949158,0.35,0.08
C0172,Manufacturing,A,1e-06,188356.3459453618,0.25,0.08
C0173,Engineering,D,0.0226118447378951,79902.66969489711,0.43,0.14
C0174,Transportation,A,1e-06,171663.82651576793,0.3,0.08
C0175,Chemicals,A,0.0008401360544217,161846.8051241514,0.3,0.08
C0176,Manufacturing,A,1e-06,177712.076772536,0.25,0.08
C0177,Retail,G,0.160679509835508,24772.77812680014,0.65,0.22
C0178,Construction,A,0.0014353741496598,153829.72116172046,0.3,0.08
C0179,Telecommunications,E,0.0473981070689145,59298.91730178088,0.49,0.16
C0180,Manufacturing,A,0.0031315789473684,208875.7426606357,0.25,0.08
C0181,Construction,A,1e-06,160167.12707334157,0.3,0.08
C0182,Manufacturing,A,1e-06,214210.72176097822,0.25,0.08
C0183,Telecommunications,A,0.0003401360544217,174421.01244388655,0.29,0.08
C0184,Logistics,G,0.1326684822665857,21598.27650232519,0.62,0.22
C0185,Transportation,D,0.0219907305972321,69119.34251669131,0.45,0.14
C0186,Chemicals,A,0.0008401360544217,179094.2156786252,0.3,0.08
C0187,Logistics,E,0.0559635654200871,53846.079280028935,0.52,0.16
C0188,Engineering,A,1e-06,172010.81996789057,0.27999999999999997,0.08
C0189,Engineering,A,1e-06,141716.00071514343,0.27999999999999997,0.08
C0190,Transportation,A,1e-06,158824.21468109713,0.3,0.08
C0191,Manufacturing,A,1e-06,158860.65729793275,0.25,0.08
C0192,Telecommunications,A,0.0009353741496598,162117.10815232713,0.29,0.08
C0193,Telecommunications,G,0.1272057875390534,20881.452822434523,0.59,0.22
C0194,Chemicals,C,0.0112990401640108,91916.88460854984,0.4,0.12
C0195,Construction,A,0.000595238095238,162984.47533856655,0.3,0.08
C0196,Construction,A,0.0032268170426065,169702.4451257765,0.3,0.08
C0197,Retail,E,0.0401685891748003,52754.60501885571,0.55,0.16
C0198,Telecommunications,A,1e-06,126207.35995680779,0.29,0.08
C0199,Telecommunications,A,1e-06,175194.95300070566,0.29,0.08
C0200,Retail,A,0.0014353741496598,148248.0913769932,0.35,0.08
C0201,Chemicals,A,0.0014353741496598,165474.31531457556,0.3,0.08
C0202,Manufacturing,A,1e-06,160266.6873478877,0.25,0.08
C0203,Manufacturing,A,1e-06,210862.80750178572,0.25,0.08
C0204,Telecommunications,A,0.0008401360544217,127220.78811926277,0.29,0.08
C0205,Chemicals,A,1e-06,126435.39571376498,0.3,0.08
C0206,Manufacturing,A,1e-06,192636.97886324156,0.25,0.08
C0207,Manufacturing,A,0.0005,214781.86743306683,0.25,0.08
C0208,Retail,D,0.0313914656771799,59611.898023589885,0.5,0.14
C0209,Manufacturing,A,1e-06,189757.99889881344,0.25,0.08
C0210,Manufacturing,A,0.0003401360544217,229192.0131256965,0.25,0.08
C0211,Engineering,A,0.0014353741496598,165056.23108767776,0.27999999999999997,0.08
C0212,Retail,C,0.0198313328521201,74904.35192362231,0.45,0.12
C0213,Chemicals,A,1e-06,167579.94681481968,0.3,0.08
C0214,Transportation,G,0.1603067607437733,23932.5208211346,0.6,0.22
C0215,Retail,A,1e-06,161473.40855191334,0.35,0.08
C0216,Transportation,A,0.0040669530970282,126623.2672821301,0.3,0.08
C0217,Construction,A,0.0003401360544217,196764.79565980975,0.3,0.08
C0218,Retail,A,1e-06,148904.26466503218,0.35,0.08
C0219,Chemicals,A,1e-06,145799.05667805235,0.3,0.08
C0220,Logistics,A,1e-06,164157.71497036493,0.32,0.08
C0221,Chemicals,A,0.000595238095238,163795.01726540262,0.3,0.08
C0222,Chemicals,A,1e-06,175871.75706848205,0.3,0.08
C0223,Manufacturing,B,0.0087184986275211,125252.30781795552,0.3,0.1
C0224,Construction,G,0.1524120720101754,30649.549836937782,0.6,0.22
C0225,Transportation,B,0.0072033167333919,128825.60543307735,0.35,0.1
C0226,Transportation,A,0.0014353741496598,131426.66180521905,0.3,0.08
C0227,Technology,A,1e-06,160181.0113200957,0.27,0.08
C0228,Construction,A,0.0029717150017901,201357.06557031744,0.3,0.08
C0229,Telecommunications,A,0.0003401360544217,137202.96947423497,0.29,0.08
C0230,Chemicals,A,1e-06,128110.25615300685,0.3,0.08
C0231,Logistics,B,0.0066717150017901,120741.4099796944,0.37,0.1
C0232,Engineering,A,0.0005,151375.9945051879,0.27999999999999997,0.08
C0233,Chemicals,A,1e-06,158853.27416330425,0.3,0.08
C0234,Engineering,A,0.0005,134278.58578283663,0.27999999999999997,0.08
C0235,Transportation,A,1e-06,131814.221123391,0.3,0.08
C0236,Retail,A,1e-06,118145.28344319438,0.35,0.08
C0237,Transportation,A,0.0005,168383.47304423797,0.3,0.08
C0238,Manufacturing,B,0.0085116959064327,185723.80216043995,0.3,0.1
C0239,Chemicals,A,1e-06,134281.996854572,0.3,0.08
C0240,Manufacturing,A,1e-06,198477.59511255194,0.25,0.08
C0241,Technology,A,0.0008401360544217,146233.1006527791,0.27,0.08
C0242,Technology,A,1e-06,164055.27441733642,0.27,0.08
C0243,Telecommunications,B,0.005517006802721,140640.5865280869,0.33999999999999997,0.1
C0244,Construction,A,1e-06,191853.8666422858,0.3,0.08
C0245,Manufacturing,G,0.1566927988720528,33505.59423805803,0.5499999999999999,0.22
C0246,Telecommunications,A,0.0045717377860235,157151.74643051406,0.29,0.08
C0247,Agriculture,A,0.0045717377860235,129832.56367846082,0.38,0.08
C0248,Technology,A,1e-06,173285.67901134034,0.27,0.08
C0249,Technology,D,0.0246064974519192,91161.75197116297,0.42000000000000004,0.14
C0250,Logistics,A,0.000595238095238,167487.70716847555,0.32,0.08
C0251,Transportation,B,0.005017006802721,142557.9200548543,0.35,0.1
C0252,Construction,A,1e-06,186227.37728918236,0.3,0.08
C0253,Logistics,E,0.0490190219137587,67680.22628845893,0.52,0.16
C0254,Construction,A,1e-06,195798.96628231922,0.3,0.08
C0255,Manufacturing,D,0.0233616358824231,99708.76162167014,0.4,0.14
C0256,Engineering,A,0.0003401360544217,177097.76768231383,0.27999999999999997,0.08
C0257,Telecommunications,B,0.0062692307692307,134916.75828277617,0.33999999999999997,0.1
C0258,Retail,A,1e-06,140629.89831416935,0.35,0.08
C0259,Chemicals,B,0.0076485857500895,127961.35971061495,0.35,0.1
C0260,Manufacturing,A,0.0009353741496598,201871.51519660052,0.25,0.08
C0261,Chemicals,A,0.0014353741496598,172206.69686515027,0.3,0.08
C0262,Technology,A,0.0014353741496598,170879.6555027132,0.27,0.08
C0263,Manufacturing,A,1e-06,228117.09416578824,0.25,0.08
C0264,Engineering,A,1e-06,180150.87187040798,0.27999999999999997,0.08
C0265,Logistics,A,0.001095238095238,177807.825867249,0.32,0.08
C0266,Retail,A,0.0032,120438.42313720734,0.35,0.08
C0267,Retail,A,1e-06,117841.17976608421,0.35,0.08
C0268,Retail,A,0.0003401360544217,134795.55071712358,0.35,0.08
C0269,Construction,A,0.0005,198414.13729341948,0.3,0.08
C0270,Transportation,C,0.0146791950739319,105514.3982116072,0.4,0.12
C0271,Logistics,A,1e-06,142799.62154839805,0.32,0.08
C0272,Logistics,B,0.0050184986275211,120011.60685771958,0.37,0.1
C0273,Logistics,G,0.143371906160415,26872.67798233168,0.62,0.22
C0274,Telecommunications,A,1e-06,135843.96096921092,0.29,0.08
C0275,Engineering,B,0.0098080786381538,145483.22333613606,0.32999999999999996,0.1
C0276,Engineering,A,1e-06,167554.76968713867,0.27999999999999997,0.08
C0277,Logistics,F,0.0862808857808857,33325.763210049074,0.5700000000000001,0.18
C0278,Chemicals,G,0.1972132048431868,20467.179909923787,0.6,0.22
C0279,Retail,A,1e-06,129197.18261576138,0.35,0.08
C0280,Logistics,A,1e-06,177654.962719787,0.32,0.08
C0281,Telecommunications,A,1e-06,158844.08805020823,0.29,0.08
C0282,Construction,A,1e-06,198074.16143966874,0.3,0.08
C0283,Construction,A,1e-06,190004.66903131653,0.3,0.08
C0284,Manufacturing,F,0.1020466490031707,49620.70645676233,0.5,0.18
C0285,Chemicals,A,1e-06,179626.31735190607,0.3,0.08
C0286,Manufacturing,A,0.0014353741496598,190016.73450976238,0.25,0.08
C0287,Agriculture,G,0.160679509835508,23770.85721869978,0.6799999999999999,0.22
C0288,Engineering,A,1e-06,185576.82973663724,0.27999999999999997,0.08
C0289,Transportation,A,0.0014353741496598,154995.77871386573,0.3,0.08
C0290,Chemicals,A,1e-06,126850.27141882516,0.3,0.08
C0291,Manufacturing,A,1e-06,194004.43419500146,0.25,0.08
C0292,Manufacturing,A,1e-06,193387.01078365947,0.25,0.08
C0293,Logistics,A,0.0005,137268.51286641927,0.32,0.08
C0294,Construction,A,1e-06,147586.21321516557,0.3,0.08
C0295,Manufacturing,A,0.0003401360544217,220945.8459439695,0.25,0.08
C0296,Engineering,A,1e-06,151026.91107728914,0.27999999999999997,0.08
C0297,Retail,A,1e-06,160479.88453587107,0.35,0.08
C0298,Transportation,A,0.0009353741496598,131340.0490582907,0.3,0.08
C0299,Chemicals,C,0.0187140061504053,104737.92398123458,0.4,0.12
C0300,Manufacturing,A,0.0040669530970282,201894.66307952764,0.25,0.08
C0301,Manufacturing,E,0.0572634271099744,68423.06369979138,0.45,0.16
C0302,Engineering,A,1e-06,135041.5796811682,0.27999999999999997,0.08
C0303,Engineering,A,0.0029717150017901,142231.70622705403,0.27999999999999997,0.08
C0304,Chemicals,C,0.0121008097165991,99757.36338134012,0.4,0.12
C0305,Retail,A,1e-06,149498.3145762912,0.35,0.08
C0306,Technology,G,0.1814580243286125,30755.35543222067,0.57,0.22
C0307,Engineering,A,1e-06,156340.68925531968,0.27999999999999997,0.08
C0308,Construction,A,1e-06,197585.8122694151,0.3,0.08
C0309,Logistics,A,1e-06,132555.57775793006,0.32,0.08
C0310,Transportation,A,1e-06,148281.80132291,0.3,0.08
C0311,Agriculture,A,0.0034717150017901,98247.26682632929,0.38,0.08
C0312,Manufacturing,A,0.0003401360544217,167435.60300699552,0.25,0.08
C0313,Manufacturing,F,0.0847492720557736,52299.148293436025,0.5,0.18
C0314,Technology,A,0.0008401360544217,156652.52903455714,0.27,0.08
C0315,Logistics,A,0.0008401360544217,162108.5921403505,0.32,0.08
C0316,Retail,A,0.0005,136673.84919163736,0.35,0.08
C0317,Agriculture,F,0.1025851951969599,26860.57086340637,0.63,0.18
C0318,Manufacturing,A,1e-06,185915.69649610852,0.25,0.08
C0319,Manufacturing,A,1e-06,205746.51322452052,0.25,0.08
C0320,Transportation,F,0.1027273790923997,38681.30479373027,0.55,0.18
C0321,Engineering,B,0.0061137367227592,137059.2097977219,0.32999999999999996,0.1
C0322,Retail,A,0.0008401360544217,114378.5999807154,0.35,0.08
C0323,Retail,A,0.0026315789473684,122658.74944223692,0.35,0.08
C0324,Transportation,A,0.0003401360544217,123681.19415426656,0.3,0.08
C0325,Technology,A,0.0014353741496598,191837.30155604353,0.27,0.08
C0326,Retail,C,0.0171306191113792,91973.01346447198,0.45,0.12
C0327,Engineering,A,0.0040669530970282,191512.60849814568,0.27999999999999997,0.08
C0328,Chemicals,A,1e-06,145230.1266786932,0.3,0.08
C0329,Agriculture,A,1e-06,135581.55115477246,0.38,0.08
C0330,Transportation,G,0.2078225438912355,25533.389314806547,0.6,0.22
C0331,Construction,A,1e-06,204686.3891258881,0.3,0.08
C0332,Retail,G,0.1505001974769416,24006.403852553372,0.65,0.22
C0333,Manufacturing,A,1e-06,204651.27584653936,0.25,0.08
C0334,Manufacturing,A,0.0008401360544217,188207.50676846062,0.25,0.08
C0335,Manufacturing,A,0.0049217687074829,186773.03660779013,0.25,0.08
C0336,Manufacturing,D,0.0244157780872502,83505.02829780914,0.4,0.14
C0337,Logistics,A,1e-06,148718.0512713299,0.32,0.08
C0338,Retail,A,0.0040816326530612,134380.564287321,0.35,0.08
C0339,Agriculture,G,0.160679509835508,20086.303643237916,0.6799999999999999,0.22
C0340,Manufacturing,A,1e-06,228010.30786495475,0.25,0.08
C0341,Engineering,A,1e-06,194739.16499828754,0.27999999999999997,0.08
C0342,Agriculture,F,0.1187006136720422,29708.24356377162,0.63,0.18
C0343,Manufacturing,A,0.0049217687074829,213543.94854083072,0.25,0.08
C0344,Agriculture,A,0.0009353741496598,104230.94878053886,0.38,0.08
C0345,Construction,B,0.0062692307692307,134559.6997548931,0.35,0.1
C0346,Chemicals,A,0.0040669530970282,133599.3333628722,0.3,0.08
C0347,Chemicals,A,1e-06,137010.00372472085,0.3,0.08
C0348,Manufacturing,G,0.2359532624238506,37307.690821630364,0.5499999999999999,0.22
C0349,Construction,A,0.0003401360544217,201513.02720537543,0.3,0.08
C0350,Chemicals,A,0.0014353741496598,155168.51687630016,0.3,0.08
C0351,Engineering,A,1e-06,152297.4307652384,0.27999999999999997,0.08
C0352,Logistics,A,0.0003401360544217,155407.7853386342,0.32,0.08
C0353,Chemicals,A,1e-06,144364.66917131626,0.3,0.08
C0354,Manufacturing,A,0.0003401360544217,219150.9285214252,0.25,0.08
C0355,Manufacturing,A,1e-06,178224.86042622622,0.25,0.08
C0356,Chemicals,B,0.009467942583732,128512.02203565513,0.35,0.1
C0357,Manufacturing,A,1e-06,193861.96153141145,0.25,0.08
C0358,Chemicals,A,1e-06,126005.67870855464,0.3,0.08
C0359,Technology,A,0.0009353741496598,178980.8369266719,0.27,0.08
C0360,Chemicals,A,1e-06,163221.11123794678,0.3,0.08
C0361,Construction,A,1e-06,148881.88844068136,0.3,0.08
C0362,Chemicals,A,0.0039764996907854,156526.11194363347,0.3,0.08
C0363,Agriculture,G,0.1529200732533391,18869.30774285502,0.6799999999999999,0.22
C0364,Engineering,A,1e-06,168866.2256315149,0.27999999999999997,0.08
C0365,Technology,A,1e-06,156964.6114383394,0.27,0.08
C0366,Construction,A,1e-06,206140.01616202455,0.3,0.08
C0367,Technology,A,1e-06,162543.70486960237,0.27,0.08
C0368,Telecommunications,A,0.0005,120297.75755266412,0.29,0.08
C0369,Transportation,A,0.0005,137388.89423148608,0.3,0.08
C0370,Manufacturing,F,0.1122400094120535,54258.56684308537,0.5,0.18
C0371,Manufacturing,A,0.0040401360544217,158937.0263251866,0.25,0.08
C0372,Manufacturing,G,0.160679509835508,37549.661207525474,0.5499999999999999,0.22
C0373,Manufacturing,F,0.0902568079980921,47272.299111000946,0.5,0.18
C0374,Retail,A,0.0029717150017901,119581.35968819246,0.35,0.08
C0375,Manufacturing,A,0.000595238095238,176665.61845701924,0.25,0.08
C0376,Construction,B,0.0087184986275211,128037.0966419498,0.35,0.1
C0377,Logistics,G,0.2692271083190557,21533.77060666307,0.62,0.22
C0378,Manufacturing,A,0.0037268170426065,220140.93396587786,0.25,0.08
C0379,Logistics,G,0.2703921568627451,27797.925125884216,0.62,0.22
C0380,Transportation,A,1e-06,147903.92814698868,0.3,0.08
C0381,Manufacturing,A,1e-06,217150.5197588647,0.25,0.08
C0382,Retail,G,0.1743637203618238,22951.862776869413,0.65,0.22
C0383,Chemicals,A,0.0009353741496598,148971.93508372176,0.3,0.08
C0384,Logistics,A,1e-06,139840.43276272964,0.32,0.08
C0385,Retail,A,0.0003401360544217,123528.61837249303,0.35,0.08
C0386,Logistics,A,1e-06,124517.6617800435,0.32,0.08
C0387,Transportation,A,0.0040669530970282,124398.15840616637,0.3,0.08
C0388,Manufacturing,A,1e-06,169621.58005266104,0.25,0.08
C0389,Retail,A,1e-06,119583.29169811257,0.35,0.08
C0390,Logistics,B,0.0061137367227592,105675.15330704974,0.37,0.1
C0391,Technology,B,0.005517006802721,123666.41981648031,0.31999999999999995,0.1
C0392,Agriculture,A,1e-06,113612.19105071915,0.38,0.08
C0393,Construction,A,0.0039764996907854,182401.41889471968,0.3,0.08
C0394,Retail,D,0.0375674763832658,71975.39126249705,0.5,0.14
C0395,Construction,G,0.1825875924349249,33667.74828901569,0.6,0.22
C0396,Telecommunications,D,0.0210416342402844,92130.13821978714,0.44,0.14
